mach,cd
0.01,0.161
0.02,0.203
0.03,0.227
0.04,0.235
0.05,0.238
0.06,0.239
0.07,0.239
0.08,0.238
0.09,0.237
0.1,0.235
0.11,0.234
0.12,0.233
0.13,0.231
0.14,0.23
0.15,0.229
0.16,0.227
0.17,0.226
0.18,0.225
0.19,0.224
0.2,0.223
0.21,0.222
0.22,0.221
0.23,0.22
0.24,0.219
0.25,0.218
0.26,0.217
0.27,0.216
0.28,0.215
0.29,0.214
0.3,0.213
0.31,0.213
0.32,0.212
0.33,0.211
0.34,0.21
0.35,0.21
0.36,0.209
0.37,0.208
0.38,0.208
0.39,0.207
0.4,0.207
0.41,0.206
0.42,0.205
0.43,0.205
0.44,0.204
0.45,0.204
0.46,0.203
0.47,0.203
0.48,0.202
0.49,0.202
0.5,0.201
0.51,0.201
0.52,0.2
0.53,0.2
0.54,0.199
0.55,0.199
0.56,0.199
0.57,0.198
0.58,0.198
0.59,0.197
0.6,0.197
0.61,0.197
0.62,0.196
0.63,0.196
0.64,0.195
0.65,0.195
0.66,0.195
0.67,0.194
0.68,0.194
0.69,0.194
0.7,0.193
0.71,0.193
0.72,0.193
0.73,0.192
0.74,0.192
0.75,0.192
0.76,0.191
0.77,0.191
0.78,0.191
0.79,0.191
0.8,0.19
0.81,0.19
0.82,0.19
0.83,0.189
0.84,0.189
0.85,0.189
0.86,0.189
0.87,0.188
0.88,0.188
0.89,0.188
0.9,0.188
0.91,0.189
0.92,0.193
0.93,0.208
0.94,0.232
0.95,0.257
0.96,0.281
0.97,0.305
0.98,0.33
0.99,0.354
1,0.379
1.01,0.403
1.02,0.428
1.03,0.452
1.04,0.477
1.05,0.501
1.06,0.499
1.07,0.497
1.08,0.495
1.09,0.493
1.1,0.491
1.11,0.488
1.12,0.486
1.13,0.485
1.14,0.483
1.15,0.481
1.16,0.479
1.17,0.477
1.18,0.475
1.19,0.473
1.2,0.471
1.21,0.469
1.22,0.467
1.23,0.465
1.24,0.463
1.25,0.462
1.26,0.46
1.27,0.458
1.28,0.456
1.29,0.455
1.3,0.453
1.31,0.451
1.32,0.449
1.33,0.448
1.34,0.446
1.35,0.444
1.36,0.443
1.37,0.441
1.38,0.44
1.39,0.438
1.4,0.437
1.41,0.435
1.42,0.433
1.43,0.432
1.44,0.43
1.45,0.429
1.46,0.427
1.47,0.426
1.48,0.425
1.49,0.423
1.5,0.422
1.51,0.42
1.52,0.419
1.53,0.418
1.54,0.416
1.55,0.415
1.56,0.413
1.57,0.412
1.58,0.411
1.59,0.409
1.6,0.408
1.61,0.407
1.62,0.406
1.63,0.404
1.64,0.403
1.65,0.402
1.66,0.4
1.67,0.399
1.68,0.398
1.69,0.397
1.7,0.396
1.71,0.394
1.72,0.393
1.73,0.392
1.74,0.391
1.75,0.39
1.76,0.388
1.77,0.387
1.78,0.386
1.79,0.385
1.8,0.384
1.81,0.383
1.82,0.382
1.83,0.381
1.84,0.379
1.85,0.378
1.86,0.377
1.87,0.376
1.88,0.375
1.89,0.374
1.9,0.373
1.91,0.372
1.92,0.371
1.93,0.37
1.94,0.369
1.95,0.368
1.96,0.367
1.97,0.366
1.98,0.365
1.99,0.364
2,0.363
2.01,0.362
2.02,0.361
2.03,0.36
2.04,0.359
2.05,0.358
2.06,0.358
2.07,0.357
2.08,0.356
2.09,0.355
2.1,0.354
2.11,0.353
2.12,0.353
2.13,0.352
2.14,0.351
2.15,0.35
2.16,0.349
2.17,0.349
2.18,0.348
2.19,0.347
2.2,0.346
2.21,0.345
2.22,0.345
2.23,0.344
2.24,0.343
2.25,0.342
2.26,0.342
2.27,0.341
2.28,0.34
2.29,0.339
2.3,0.339
2.31,0.338
2.32,0.337
2.33,0.337
2.34,0.336
2.35,0.335
2.36,0.334
2.37,0.334
2.38,0.333
2.39,0.332
2.4,0.332
2.41,0.331
2.42,0.33
2.43,0.33
2.44,0.329
2.45,0.328
2.46,0.328
2.47,0.327
2.48,0.326
2.49,0.326
2.5,0.325
