,Dry Mass (kg),Max Height (ft),Max Velocity (m/s),Radius (m)
0,25.0,102305.19080374057,959.6853075022393,0.06
1,26.0,98797.54900271643,934.9301127471978,0.06
2,27.0,95411.8714923752,911.1878924441875,0.06
3,28.0,92144.7613496807,888.3954928523846,0.06
4,29.0,88995.74583767905,866.4990350629497,0.06
5,30.0,85962.60171952793,845.4557898466104,0.06
6,31.0,83042.6942710674,825.2148672034239,0.06
7,32.0,80231.967193481,805.7351240904306,0.06
8,33.0,77550.54451812056,787.0177206823234,0.06
9,34.0,75013.1203486652,769.0599133060251,0.06
10,35.0,72608.7704241151,751.8163209551968,0.06
11,36.0,70326.33572310884,735.2416649859027,0.06
12,37.0,68158.5657283624,719.2997265293942,0.06
13,38.0,66096.39608571555,703.9525423543,0.06
14,39.0,64132.70583162845,689.1673115519502,0.06
15,40.0,62260.11335659779,674.9124025166443,0.06
16,25.0,78474.26749090319,899.9104315456888,0.06999999999999999
17,26.0,76433.63734074503,878.5278124198006,0.06999999999999999
18,27.0,74419.33704652092,857.8911369355021,0.06999999999999999
19,28.0,72436.39986840246,837.9643883084715,0.06999999999999999
20,29.0,70489.82040924135,818.7234497056485,0.06999999999999999
21,30.0,68582.87956898921,800.1365942069557,0.06999999999999999
22,31.0,66742.83294019442,782.2538938654234,0.06999999999999999
23,32.0,64977.808631298576,765.066641945927,0.06999999999999999
24,33.0,63285.175739295795,748.5423062463559,0.06999999999999999
25,34.0,61659.119455191336,732.6341079137395,0.06999999999999999
26,35.0,60097.29908635514,717.3118688609775,0.06999999999999999
27,36.0,58595.35055560523,702.5404425667118,0.06999999999999999
28,37.0,57150.36282061703,688.2910068618509,0.06999999999999999
29,38.0,55758.3183267306,674.5314265590596,0.06999999999999999
30,39.0,54418.03332145686,661.2461646721359,0.06999999999999999
31,40.0,53125.52344812067,648.401459390643,0.06999999999999999
32,25.0,61141.79585872331,838.8306311370193,0.08
33,26.0,60001.06596599904,820.4404079692197,0.08
34,27.0,58844.492185123156,802.5847582414224,0.08
35,28.0,57693.10333762888,785.3324973287558,0.08
36,29.0,56564.21593298546,768.7318458928411,0.08
37,30.0,55457.91922549414,752.7398805805688,0.08
38,31.0,54375.68929143863,737.3269326358879,0.08
39,32.0,53316.8758930968,722.4580446324157,0.08
40,33.0,52281.90218898764,708.1056752905002,0.08
41,34.0,51271.49394901973,694.2450023047055,0.08
42,35.0,50285.568468250676,680.8471909448415,0.08
43,36.0,49330.151128837635,667.8908008389812,0.08
44,37.0,48403.47295758901,655.3453744316831,0.08
45,38.0,47506.81254312996,643.2074337146352,0.08
46,39.0,46633.37468525887,631.4562026789116,0.08
47,40.0,45780.11502880489,620.0710807120242,0.08
48,25.0,49295.199697482516,777.1387500207894,0.09
49,26.0,48668.52682280004,761.6467408695423,0.09
50,27.0,48040.74582875808,746.6970971569393,0.09
51,28.0,47413.481451146276,732.2534453743433,0.09
52,29.0,46786.71304316127,718.2898327374247,0.09
53,30.0,46158.60778691735,704.7807390553563,0.09
54,31.0,45530.37929010417,691.7088160461495,0.09
55,32.0,44902.82014840014,679.0484056151922,0.09
56,33.0,44277.884147506236,666.7834197272377,0.09
57,34.0,43655.61657674833,654.880496966517,0.09
58,35.0,43040.02364622016,643.3451153045529,0.09
59,36.0,42431.415206937134,632.1605086076513,0.09
60,37.0,41829.501998462,621.3080822132799,0.09
61,38.0,41234.204966733254,610.7703717327644,0.09
62,39.0,40645.5475287833,600.5317494023878,0.09
63,40.0,40065.52654176827,590.5937935665115,0.09
64,25.0,41436.12969179582,717.0247619754382,0.1
65,26.0,41088.693820704626,704.3650940296105,0.1
66,27.0,40729.38023325131,692.0885308579856,0.1
67,28.0,40359.651051128436,680.1745319781179,0.1
68,29.0,39980.551619431186,668.6003867789831,0.1
69,30.0,39593.61326824701,657.3513532781202,0.1
